pulsearea rate x_error y_error
0.0 1.1109123229980469 2.5 1.0539982556902296
5.0 15.446893692016602 2.5 3.9302536421987577
10.0 6.4393415451049805 2.5 2.5375857709848906
15.0 6.549487590789795 2.5 2.5591966690330374
20.0 4.689643859863281 2.5 2.165558556092003
25.0 1.9834394454956055 2.5 1.408346351397839
30.0 0.7335149645805359 2.5 0.8564548818125424
35.0 0.4236576557159424 2.5 0.6508898952326287
40.0 0.3438875377178192 2.5 0.5864192508076617
45.0 0.30622008442878723 2.5 0.5533715609143528
50.0 0.27331164479255676 2.5 0.5227921621376479
55.0 0.25230368971824646 2.5 0.5022984070433097
60.0 0.23271246254444122 2.5 0.4824028011366033
65.0 0.21499475836753845 2.5 0.46367527254269064
70.0 0.203799769282341 2.5 0.4514418780777222
75.0 0.19860126078128815 2.5 0.44564701365687187
80.0 0.20307694375514984 2.5 0.45064059266243406
85.0 0.21625535190105438 2.5 0.4650326353075173
90.0 0.22769321501255035 2.5 0.47717210208954
95.0 0.22865889966487885 2.5 0.47818291444266264
100.0 0.21310387551784515 2.5 0.4616317531516275
105.0 0.18647527694702148 2.5 0.4318278325293791
110.0 0.15503562986850739 2.5 0.3937456410787393
115.0 0.1270192265510559 2.5 0.3563975681048566
120.0 0.10704056173563004 2.5 0.32717053922324674
125.0 0.09533670544624329 2.5 0.3087664253869635
130.0 0.08644315600395203 2.5 0.2940121698228698
135.0 0.08136609196662903 2.5 0.2852474223663187
140.0 0.0788102075457573 2.5 0.28073155780167874
145.0 0.07528286427259445 2.5 0.2743772298726599
150.0 0.073686882853508 2.5 0.2714532793198638
155.0 0.07024627178907394 2.5 0.26504013241219515
160.0 0.0660712793469429 2.5 0.25704334137834206
165.0 0.0632089227437973 2.5 0.2514138475577614
170.0 0.06102312356233597 2.5 0.24702858855269358
175.0 0.05744951590895653 2.5 0.23968628644325174
180.0 0.05520588904619217 2.5 0.23495933487774467
185.0 0.05163228139281273 2.5 0.2272273781761624
190.0 0.04957947880029678 2.5 0.22266449829350163
195.0 0.047682806849479675 2.5 0.21836393211672955
200.0 0.04564735293388367 2.5 0.21365241148623543
205.0 0.04423641413450241 2.5 0.21032454477426646
210.0 0.04281391203403473 2.5 0.20691522910127888
215.0 0.041449230164289474 2.5 0.20359084007953177
220.0 0.041455015540122986 2.5 0.20360504792397213
225.0 0.040281157940626144 2.5 0.20070166402057096
230.0 0.04068015515804291 2.5 0.20169322040674276
235.0 0.03998046740889549 2.5 0.19995116255949974
240.0 0.04001516103744507 2.5 0.20003789900277663
245.0 0.03981277346611023 2.5 0.19953138466444378
250.0 0.03912465274333954 2.5 0.19779952665094913
255.0 0.03883552551269531 2.5 0.19706731213647613
260.0 0.039754949510097504 2.5 0.19938643261289746
265.0 0.04118901863694191 2.5 0.20295077885276003
270.0 0.041495490819215775 2.5 0.2037044202250304
275.0 0.04055294021964073 2.5 0.2013776060530086
280.0 0.0388297438621521 2.5 0.197052642362776
285.0 0.03937908262014389 2.5 0.19844163529900646
290.0 0.03741301968693733 2.5 0.19342445472829264
295.0 0.035244569182395935 2.5 0.1877353700888459
300.0 0.032948900014162064 2.5 0.18151831867379684
305.0 0.03053758293390274 2.5 0.17475005846609248
