energy rate negative_error possitive_error
0.0 0.0 0.0 0.0
0.02 0.23585239052772522 0.0011678294227905205 0.0011678294227905205
0.04 0.16496425867080688 0.0009766842724293053 0.0009766842724293053
0.06 0.07384301722049713 0.000653452434091045 0.000653452434091045
0.08 0.06818769127130508 0.0006279314953758783 0.0006279314953758783
0.1 0.06149729713797569 0.0005963308516876441 0.0005963308516876441
0.12 0.03987060487270355 0.0004801596556912361 0.0004801596556912361
0.14 0.019666412845253944 0.0003372266182303326 0.0003372266182303326
0.16 0.009425537660717964 0.00023345992066635637 0.00023345992066635637
0.18 0.006395487580448389 0.00019230744368354193 0.00019230744368354193
0.2 0.004828419536352158 0.00016709435150242695 0.00016709435150242695
0.22 0.00477059418335557 0.00016609077274609105 0.00016609077274609105
0.24 0.004458337090909481 0.0001605630910988877 0.0001605630910988877
0.26 0.0040998198091983795 0.0001539719638277287 0.0001539719638277287
0.28 0.003648781683295965 0.00014525570917009892 0.00014525570917009892
0.3 0.0036950421053916216 0.0001461736058822068 0.0001461736058822068
0.32 0.003758649807423353 0.00014742638271521136 0.00014742638271521136
0.34 0.0038049104623496532 0.00014833084753546828 0.00014833084753546828
0.36 0.003417480271309614 0.00014057635290480597 0.00014057635290480597
0.38 0.0035620438866317272 0.00014351883074208044 0.00014351883074208044
0.4 0.0035331309773027897 0.0001429351811880562 0.0001429351811880562
0.42 0.003637216752395034 0.0001450253272500489 0.0001450253272500489
0.44 0.0034695230424404144 0.00014164268691809403 0.00014164268691809403
0.46 0.003550478722900152 0.00014328565620832162 0.00014328565620832162
0.48 0.0035100008826702833 0.00014246653998821362 0.00014246653998821362
0.5 0.003209308721125126 0.00013622757411983053 0.00013622757411983053
0.52 0.003018484916538 0.00013211550309830475 0.00013211550309830475
0.54 0.0027640534099191427 0.00012642485951495921 0.00012642485951495921
0.56 0.002584794769063592 0.0001222565941544505 0.0001222565941544505
0.58 0.0023361453786492348 0.00011622758497864145 0.00011622758497864145
0.6 0.002168451901525259 0.00011197837614182818 0.00011197837614182818
0.62 0.0020123233553022146 0.00010787185656731222 0.00010787185656731222
0.64 0.0022262772545218468 0.00011346159806729194 0.00011346159806729194
0.66 0.0022436250001192093 0.00011390279842817994 0.00011390279842817994
0.68 0.0025500995106995106 0.00012143330806114213 0.00012143330806114213
0.7000000000000001 0.0031283532734960318 0.00013449841423935743 0.00013449841423935743
0.72 0.003446392947807908 0.00014116975509055764 0.00014116975509055764
0.74 0.004498815163969994 0.00016129032978472632 0.00016129032978472632
0.76 0.004926722962409258 0.00016878674140902072 0.00016878674140902072
0.78 0.005371978506445885 0.00017624888913883225 0.00017624888913883225
0.8 0.0060254051350057125 0.00018666048541486158 0.00018666048541486158
0.8200000000000001 0.006216228939592838 0.00018959320295561098 0.00018959320295561098
0.84 0.006129490677267313 0.00018826581298268962 0.00018826581298268962
0.86 0.005371978506445885 0.00017624888913883222 0.00017624888913883222
0.88 0.004504597745835781 0.00016139395352158663 0.00016139395352158663
0.9 0.003839605487883091 0.0001490055933116744 0.0001490055933116744
0.92 0.0031341358553618193 0.00013462266222357986 0.00013462266222357986
0.9400000000000001 0.002532751765102148 0.00012101956475250338 0.00012101956475250338
0.96 0.0018908900674432516 0.00010456646050608474 0.00010456646050608474
0.98 0.001763674197718501 0.00010098769298780955 0.00010098769298780955
1.0 0.0014456346398219466 9.142996125764155e-05 9.142996125764155e-05
1.02 0.0013357663992792368 8.788697594974027e-05 8.788697594974027e-05
1.04 0.0011102473363280296 8.01252035402139e-05 8.01252035402139e-05
1.06 0.0012201155768707395 8.399622322666846e-05 8.399622322666846e-05
1.08 0.0012432457879185677 8.478865797613204e-05 8.478865797613204e-05
1.1 0.0012490282533690333 8.498561215085641e-05 8.498561215085641e-05
1.12 0.0010986824054270983 7.97067923067797e-05 7.97067923067797e-05
1.1400000000000001 0.0012721584644168615 8.57689062405775e-05 8.57689062405775e-05
1.16 0.0010466394014656544 7.779609873557578e-05 7.779609873557578e-05
1.18 0.0010582045651972294 7.82247306227388e-05 7.82247306227388e-05
1.2 0.001144942594692111 8.136752884249637e-05 8.136752884249637e-05
1.22 0.0007748601492494345 6.693772231819347e-05 6.693772231819347e-05
1.24 0.0009541188483126462 7.42780516591458e-05 7.42780516591458e-05
1.26 0.0009194235899485648 7.29150358342157e-05 7.29150358342157e-05
1.28 0.001011944143101573 7.649579381182788e-05 7.649579381182788e-05
1.3 0.0008847283897921443 7.152605080060822e-05 7.152605080060822e-05
1.32 0.0007979903020896018 6.792944629685095e-05 6.792944629685095e-05
1.34 0.0008326855022460222 6.939046174922407e-05 6.939046174922407e-05
1.36 0.000780642731115222 6.71870256850969e-05 6.71870256850969e-05
1.3800000000000001 0.0005956014501862228 5.868635599537954e-05 5.868635599537954e-05
1.4000000000000001 0.0006013839738443494 5.897055308608455e-05 5.897055308608455e-05
1.42 0.0005840363446623087 5.811379248932072e-05 5.811379248932072e-05
1.44 0.0005377760389819741 5.576478160446311e-05 5.576478160446311e-05
1.46 0.0004683856386691332 5.204284631191806e-05 5.204284631191806e-05
1.48 0.0005030808388255537 5.393592828365611e-05 5.393592828365611e-05
1.5 0.0004452554858289659 5.074156922284471e-05 5.074156922284471e-05
1.52 0.0004741681623272598 5.236311300436805e-05 5.236311300436805e-05
1.54 0.000370082474546507 4.626030783281605e-05 4.626030783281605e-05
1.56 0.0003469523217063397 4.4791350456731274e-05 4.4791350456731274e-05
1.58 0.00036429992178454995 4.5897476287096735e-05 4.5897476287096735e-05
1.6 0.0003353872452862561 4.403850103276825e-05 4.403850103276825e-05
1.62 0.00034116976894438267 4.441652085064099e-05 4.441652085064099e-05
1.6400000000000001 0.00028912691050209105 4.0888721710451735e-05 4.0888721710451735e-05
1.6600000000000001 0.00028912691050209105 4.0888721710451735e-05 4.0888721710451735e-05
1.68 0.00022551900474354625 3.6111941227653746e-05 3.6111941227653746e-05
1.7 0.00024286660482175648 3.7475132461625865e-05 3.7475132461625865e-05
1.72 0.0002891269396059215 4.0888721710451735e-05 4.0888721710451735e-05
1.74 0.00020238885190337896 3.4209958991210983e-05 3.4209958991210983e-05
1.76 0.00020817139011342078 3.469523087461204e-05 3.469523087461204e-05
1.78 0.00024864915758371353 3.791864059112219e-05 3.791864059112219e-05
1.8 0.00012721584062092006 2.7122509614165455e-05 2.7122509614165455e-05
1.82 0.0001850412372732535 3.271097736836139e-05 3.271097736836139e-05
1.84 0.00024286663392558694 3.7475132461625865e-05 3.7475132461625865e-05
1.86 0.00023130152840167284 3.6571984503056626e-05 3.6571984503056626e-05
1.8800000000000001 0.00014456346980296075 2.8912692395510034e-05 2.8912692395510034e-05
1.9000000000000001 0.00017925869906321168 3.2195811670637466e-05 3.2195811670637466e-05
1.92 0.00017925869906321168 3.2195811670637466e-05 3.2195811670637466e-05
1.94 0.0001850412372732535 3.271097736836139e-05 3.271097736836139e-05
1.96 0.00017347616085316986 3.1672267646457844e-05 3.1672267646457844e-05
1.98 0.00020817139011342078 3.469523087461204e-05 3.469523087461204e-05
2.0 0.00014456345525104553 2.891269239551003e-05 2.891269239551003e-05
