energy 	 rate 	 negative_error 	 possitive_error 
0.7000000000000001 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
0.72 	 0.0 	 0.0 	 0.0 
0.74 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
0.76 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
0.78 	 2.279839463881217e-05 	 1.1399197482489898e-05 	 1.1399197482489898e-05 
0.8 	 1.7098795069614425e-05 	 9.871994602591871e-06 	 9.871994602591871e-06 
0.8200000000000001 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
0.84 	 4.559678927762434e-05 	 1.6120899679906456e-05 	 1.6120899679906456e-05 
0.86 	 5.699598841601983e-05 	 1.8023713771362717e-05 	 1.8023713771362717e-05 
0.88 	 3.9897189708426595e-05 	 1.5079720842190916e-05 	 1.5079720842190916e-05 
0.9 	 5.129638884682208e-05 	 1.7098796223734848e-05 	 1.7098796223734848e-05 
0.92 	 9.689318540040404e-05 	 2.3500047633790387e-05 	 2.3500047633790387e-05 
0.9400000000000001 	 9.689317812444642e-05 	 2.3500047633790387e-05 	 2.3500047633790387e-05 
0.96 	 0.00015388916654046625 	 2.9615983807775615e-05 	 2.9615983807775615e-05 
0.98 	 0.00017098795797210187 	 3.1217987993079096e-05 	 3.1217987993079096e-05 
1.0 	 0.0002450827450957149 	 3.737476835890282e-05 	 3.737476835890282e-05 
1.02 	 0.0003305767313577235 	 4.340685080778907e-05 	 4.340685080778907e-05 
1.04 	 0.0002849799348041415 	 4.0302249199766143e-05 	 4.0302249199766143e-05 
1.06 	 0.0003248771245125681 	 4.303102684387694e-05 	 4.303102684387694e-05 
1.08 	 0.0003362763090990484 	 4.3779448635870914e-05 	 4.3779448635870914e-05 
1.1 	 0.00041037111077457666 	 4.836269903971937e-05 	 4.836269903971937e-05 
1.12 	 0.00043316950905136764 	 4.968794986363673e-05 	 4.968794986363673e-05 
1.1400000000000001 	 0.00038757274160161614 	 4.7000095267580775e-05 	 4.7000095267580775e-05 
1.16 	 0.000438869115896523 	 5.00137759768494e-05 	 5.00137759768494e-05 
1.18 	 0.00039897189708426595 	 4.768626434083583e-05 	 4.768626434083583e-05 
1.2 	 0.0002678811433725059 	 3.907448033085594e-05 	 3.907448033085594e-05 
1.22 	 0.0002678811433725059 	 3.907448033085593e-05 	 3.907448033085593e-05 
1.24 	 0.00019948594854213297 	 3.371928088485926e-05 	 3.371928088485926e-05 
1.26 	 0.00014248996740207076 	 2.8497993706224746e-05 	 2.8497993706224746e-05 
1.28 	 0.000176687550265342 	 3.1734022753934484e-05 	 3.1734022753934484e-05 
1.3 	 0.00010829237726284191 	 2.484397493181836e-05 	 2.484397493181836e-05 
1.32 	 0.00014248996740207076 	 2.8497993706224746e-05 	 2.8497993706224746e-05 
1.34 	 7.979437941685319e-05 	 2.1325945731826622e-05 	 2.1325945731826622e-05 
1.36 	 5.699598841601983e-05 	 1.802371377136272e-05 	 1.802371377136272e-05 
1.3800000000000001 	 2.279839463881217e-05 	 1.1399197482489898e-05 	 1.1399197482489898e-05 
1.4000000000000001 	 2.279839463881217e-05 	 1.1399197482489898e-05 	 1.1399197482489898e-05 
1.42 	 5.699598841601983e-05 	 1.8023713771362717e-05 	 1.8023713771362717e-05 
1.44 	 2.8497994208009914e-05 	 1.274469022989594e-05 	 1.274469022989594e-05 
1.46 	 1.709879688860383e-05 	 9.871994602591871e-06 	 9.871994602591871e-06 
1.48 	 3.9897189708426595e-05 	 1.5079720842190914e-05 	 1.5079720842190914e-05 
1.5 	 2.8497994208009914e-05 	 1.274469022989594e-05 	 1.274469022989594e-05 
1.52 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
1.54 	 1.709879688860383e-05 	 9.871994602591871e-06 	 9.871994602591871e-06 
1.56 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
1.58 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.6 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.62 	 0.0 	 0.0 	 0.0 
1.6400000000000001 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
1.6600000000000001 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.68 	 0.0 	 0.0 	 0.0 
1.7 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.72 	 0.0 	 0.0 	 0.0 
1.74 	 0.0 	 0.0 	 0.0 
1.76 	 0.0 	 0.0 	 0.0 
1.78 	 0.0 	 0.0 	 0.0 
1.8 	 1.1399197319406085e-05 	 8.060449839953228e-06 	 8.060449839953228e-06 
1.82 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.84 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.86 	 0.0 	 0.0 	 0.0 
1.8800000000000001 	 0.0 	 0.0 	 0.0 
1.9000000000000001 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
1.92 	 0.0 	 0.0 	 0.0 
1.94 	 0.0 	 0.0 	 0.0 
1.96 	 0.0 	 0.0 	 0.0 
1.98 	 0.0 	 0.0 	 0.0 
2.0 	 0.0 	 0.0 	 0.0 
2.02 	 0.0 	 0.0 	 0.0 
2.04 	 0.0 	 0.0 	 0.0 
2.06 	 0.0 	 0.0 	 0.0 
2.08 	 0.0 	 0.0 	 0.0 
2.1 	 0.0 	 0.0 	 0.0 
2.12 	 0.0 	 0.0 	 0.0 
2.14 	 0.0 	 0.0 	 0.0 
2.16 	 0.0 	 0.0 	 0.0 
2.18 	 0.0 	 0.0 	 0.0 
2.2 	 0.0 	 0.0 	 0.0 
2.22 	 0.0 	 0.0 	 0.0 
2.24 	 0.0 	 0.0 	 0.0 
2.2600000000000002 	 0.0 	 0.0 	 0.0 
2.2800000000000002 	 0.0 	 0.0 	 0.0 
2.3000000000000003 	 0.0 	 0.0 	 0.0 
2.32 	 0.0 	 0.0 	 0.0 
2.34 	 0.0 	 0.0 	 0.0 
2.36 	 0.0 	 0.0 	 0.0 
2.38 	 0.0 	 0.0 	 0.0 
2.4 	 0.0 	 0.0 	 0.0 
2.42 	 0.0 	 0.0 	 0.0 
2.44 	 0.0 	 0.0 	 0.0 
2.46 	 0.0 	 0.0 	 0.0 
2.48 	 0.0 	 0.0 	 0.0 
2.5 	 0.0 	 0.0 	 0.0 
2.52 	 0.0 	 0.0 	 0.0 
2.54 	 0.0 	 0.0 	 0.0 
2.56 	 0.0 	 0.0 	 0.0 
2.58 	 0.0 	 0.0 	 0.0 
2.6 	 0.0 	 0.0 	 0.0 
2.62 	 0.0 	 0.0 	 0.0 
2.64 	 5.699598659703042e-06 	 5.699598741244949e-06 	 5.699598741244949e-06 
2.66 	 0.0 	 0.0 	 0.0 
2.68 	 0.0 	 0.0 	 0.0 
2.7 	 0.0 	 0.0 	 0.0 
2.72 	 0.0 	 0.0 	 0.0 
2.74 	 0.0 	 0.0 	 0.0 
2.7600000000000002 	 0.0 	 0.0 	 0.0 
2.7800000000000002 	 0.0 	 0.0 	 0.0 
2.8000000000000003 	 0.0 	 0.0 	 0.0 
2.82 	 0.0 	 0.0 	 0.0 
2.84 	 0.0 	 0.0 	 0.0 
2.86 	 0.0 	 0.0 	 0.0 
2.88 	 0.0 	 0.0 	 0.0 
2.9 	 0.0 	 0.0 	 0.0 
2.92 	 0.0 	 0.0 	 0.0 
2.94 	 0.0 	 0.0 	 0.0 
2.96 	 0.0 	 0.0 	 0.0 
2.98 	 0.0 	 0.0 	 0.0 
3.0 	 0.0 	 0.0 	 0.0 
3.02 	 0.0 	 0.0 	 0.0 
3.04 	 0.0 	 0.0 	 0.0 
3.06 	 0.0 	 0.0 	 0.0 
3.08 	 0.0 	 0.0 	 0.0 
3.1 	 0.0 	 0.0 	 0.0 
3.12 	 0.0 	 0.0 	 0.0 
3.14 	 0.0 	 0.0 	 0.0 
3.16 	 0.0 	 0.0 	 0.0 
3.18 	 0.0 	 0.0 	 0.0 
3.2 	 0.0 	 0.0 	 0.0 
3.22 	 0.0 	 0.0 	 0.0 
3.24 	 0.0 	 0.0 	 0.0 
3.2600000000000002 	 0.0 	 0.0 	 0.0 
3.2800000000000002 	 0.0 	 0.0 	 0.0 
3.3000000000000003 	 0.0 	 0.0 	 0.0 
3.3200000000000003 	 0.0 	 0.0 	 0.0 
3.34 	 0.0 	 0.0 	 0.0 
3.36 	 0.0 	 0.0 	 0.0 
3.38 	 0.0 	 0.0 	 0.0 
3.4 	 0.0 	 0.0 	 0.0 
3.42 	 0.0 	 0.0 	 0.0 
3.44 	 0.0 	 0.0 	 0.0 
3.46 	 0.0 	 0.0 	 0.0 
3.48 	 0.0 	 0.0 	 0.0 
3.5 	 0.0 	 0.0 	 0.0 
3.52 	 0.0 	 0.0 	 0.0 
3.54 	 0.0 	 0.0 	 0.0 
3.56 	 0.0 	 0.0 	 0.0 
3.58 	 0.0 	 0.0 	 0.0 
3.6 	 0.0 	 0.0 	 0.0 
3.62 	 0.0 	 0.0 	 0.0 
3.64 	 0.0 	 0.0 	 0.0 
3.66 	 0.0 	 0.0 	 0.0 
3.68 	 0.0 	 0.0 	 0.0 
3.7 	 0.0 	 0.0 	 0.0 
3.72 	 0.0 	 0.0 	 0.0 
3.74 	 0.0 	 0.0 	 0.0 
3.7600000000000002 	 0.0 	 0.0 	 0.0 
3.7800000000000002 	 0.0 	 0.0 	 0.0 
3.8000000000000003 	 0.0 	 0.0 	 0.0 
3.8200000000000003 	 0.0 	 0.0 	 0.0 
3.84 	 0.0 	 0.0 	 0.0 
3.86 	 0.0 	 0.0 	 0.0 
3.88 	 0.0 	 0.0 	 0.0 
3.9 	 0.0 	 0.0 	 0.0 
3.92 	 0.0 	 0.0 	 0.0 
3.94 	 0.0 	 0.0 	 0.0 
3.96 	 0.0 	 0.0 	 0.0 
3.98 	 0.0 	 0.0 	 0.0 
4.0 	 0.0 	 0.0 	 0.0 
4.0200000000000005 	 0.0 	 0.0 	 0.0 
4.04 	 0.0 	 0.0 	 0.0 
4.0600000000000005 	 0.0 	 0.0 	 0.0 
4.08 	 0.0 	 0.0 	 0.0 
4.1 	 0.0 	 0.0 	 0.0 
4.12 	 0.0 	 0.0 	 0.0 
4.14 	 0.0 	 0.0 	 0.0 
4.16 	 0.0 	 0.0 	 0.0 
4.18 	 0.0 	 0.0 	 0.0 
4.2 	 0.0 	 0.0 	 0.0 
4.22 	 0.0 	 0.0 	 0.0 
4.24 	 0.0 	 0.0 	 0.0 
4.26 	 0.0 	 0.0 	 0.0 
4.28 	 0.0 	 0.0 	 0.0 
4.3 	 0.0 	 0.0 	 0.0 
4.32 	 0.0 	 0.0 	 0.0 
4.34 	 0.0 	 0.0 	 0.0 
4.36 	 0.0 	 0.0 	 0.0 
4.38 	 0.0 	 0.0 	 0.0 
4.4 	 0.0 	 0.0 	 0.0 
4.42 	 0.0 	 0.0 	 0.0 
4.44 	 0.0 	 0.0 	 0.0 
4.46 	 0.0 	 0.0 	 0.0 
4.48 	 0.0 	 0.0 	 0.0 
4.5 	 0.0 	 0.0 	 0.0 
4.5200000000000005 	 0.0 	 0.0 	 0.0 
4.54 	 0.0 	 0.0 	 0.0 
4.5600000000000005 	 0.0 	 0.0 	 0.0 
4.58 	 0.0 	 0.0 	 0.0 
4.6000000000000005 	 0.0 	 0.0 	 0.0 
4.62 	 0.0 	 0.0 	 0.0 
4.64 	 0.0 	 0.0 	 0.0 
4.66 	 0.0 	 0.0 	 0.0 
4.68 	 0.0 	 0.0 	 0.0 
4.7 	 0.0 	 0.0 	 0.0 
4.72 	 0.0 	 0.0 	 0.0 
4.74 	 0.0 	 0.0 	 0.0 
4.76 	 0.0 	 0.0 	 0.0 
4.78 	 0.0 	 0.0 	 0.0 
4.8 	 0.0 	 0.0 	 0.0 
4.82 	 0.0 	 0.0 	 0.0 
4.84 	 0.0 	 0.0 	 0.0 
4.86 	 0.0 	 0.0 	 0.0 
4.88 	 0.0 	 0.0 	 0.0 
4.9 	 0.0 	 0.0 	 0.0 
4.92 	 0.0 	 0.0 	 0.0 
4.94 	 0.0 	 0.0 	 0.0 
4.96 	 0.0 	 0.0 	 0.0 
4.98 	 0.0 	 0.0 	 0.0 
5.0 	 0.0 	 0.0 	 0.0 
5.0200000000000005 	 0.0 	 0.0 	 0.0 
5.04 	 0.0 	 0.0 	 0.0 
5.0600000000000005 	 0.0 	 0.0 	 0.0 
5.08 	 0.0 	 0.0 	 0.0 
5.1000000000000005 	 0.0 	 0.0 	 0.0 
5.12 	 0.0 	 0.0 	 0.0 
5.14 	 0.0 	 0.0 	 0.0 
5.16 	 0.0 	 0.0 	 0.0 
5.18 	 0.0 	 0.0 	 0.0 
5.2 	 0.0 	 0.0 	 0.0 
5.22 	 0.0 	 0.0 	 0.0 
5.24 	 0.0 	 0.0 	 0.0 
5.26 	 0.0 	 0.0 	 0.0 
5.28 	 0.0 	 0.0 	 0.0 
5.3 	 0.0 	 0.0 	 0.0 
